Price,Close,Volume
Ticker,BBAS3.SA,BBAS3.SA
Date,,
2025-03-05,27.417844772338867,18081300
2025-03-06,27.37834930419922,17819500
2025-03-07,27.704164505004883,16830600
2025-03-10,27.615306854248047,14457100
2025-03-11,27.36847686767578,20095600
2025-03-12,27.049999237060547,15085100
2025-03-13,27.489999771118164,18344200
2025-03-14,27.8799991607666,22864700
2025-03-17,28.459999084472656,19847000
2025-03-18,28.5,16806400
2025-03-19,28.389999389648438,18962900
2025-03-20,28.25,14013900
2025-03-21,28.3700008392334,66960300
2025-03-24,28.360000610351562,13497500
2025-03-25,28.469999313354492,15292700
2025-03-26,28.809999465942383,11927300
2025-03-27,28.690000534057617,14399300
2025-03-28,28.639999389648438,12444500
2025-03-31,28.190000534057617,17667600
