Price,Close,Volume
Ticker,SLCE3.SA,SLCE3.SA
Date,,
2024-08-01,17.305870056152344,1698900
2024-08-02,17.24753761291504,1716600
2024-08-05,17.033645629882812,1649000
2024-08-06,17.208648681640625,1729300
2024-08-07,17.35448455810547,1046800
2024-08-08,17.490596771240234,1461800
2024-08-09,17.860048294067383,2471300
2024-08-12,17.58782196044922,1122300
2024-08-13,17.791990280151367,1675900
2024-08-14,17.69476890563965,2579100
2024-08-15,17.257259368896484,2580600
2024-08-16,17.208648681640625,2427400
2024-08-19,17.364206314086914,3059100
2024-08-20,17.47115135192871,1715000
2024-08-21,17.500320434570312,1569900
2024-08-22,17.29615020751953,1720300
2024-08-23,17.403095245361328,1206300
2024-08-26,17.48087501525879,1314100
2024-08-27,17.568376541137695,2390400
2024-08-28,17.383649826049805,1655100
2024-08-29,17.23781394958496,2309400
2024-08-30,17.169757843017578,2352900
